Identifiant ,Sales_Date,House_Type ,Number_of_Rooms,Address,Post_Code,City,Price,House_Inside_Area,Population,Population_Density(km2),Number_of_Schools,Number_of_Hospital,Region_Area(km2),Avg_Monthly_Salary,Avg_Age
2020-288782,29/06/2020,Appartement,2, LA PASSIFLORE,83130,La Garde,165000,48,25380,1600,14,4,15.54,2293,43.02
2020-288796,29/06/2020,Appartement,3,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,153500,62,25380,1600,14,4,15.54,2293,43.02
2020-288809,29/06/2020,Appartement,4,9005 AV ROBESPIERRE,83130,La Garde,4900000,87,25380,1600,14,4,15.54,2293,43.02
2020-288824,26/06/2020,Maison,4,143 RUE DU NOUVEAU PIGEONNIER,83130,La Garde,416000,88,25380,1600,14,4,15.54,2293,43.02
2020-288703,24/06/2020,Appartement,3,175 AV FREDERIC MISTRAL,83130,La Garde,162000,57,25380,1600,14,4,15.54,2293,43.02
2020-288743,19/06/2020,Appartement,2, LE SAINTE ROSELYNE,83130,La Garde,155000,55,25380,1600,14,4,15.54,2293,43.02
2020-288622,17/06/2020,Appartement,4,452 CHE DE RABASSON,83130,La Garde,200000,83,25380,1600,14,4,15.54,2293,43.02
2020-288754,16/06/2020,Maison,6,5 AV DE PROVENCE,83130,La Garde,393000,143,25380,1600,14,4,15.54,2293,43.02
2020-288586,12/06/2020,Maison,4,243 RUE VICTOR HUGO,83130,La Garde,362000,78,25380,1600,14,4,15.54,2293,43.02
2020-288575,11/06/2020,Appartement,5,440 RUE JEAN BARTOLINI,83130,La Garde,155000,88,25380,1600,14,4,15.54,2293,43.02
2020-288683,09/06/2020,Appartement,4,42 RUE ALPHONSE DAUDET,83130,La Garde,204300,74,25380,1600,14,4,15.54,2293,43.02
2020-288562,08/06/2020,Appartement,2,1107 AV DE LA PAIX,83130,La Garde,162200,41,25380,1600,14,4,15.54,2293,43.02
2020-288408,05/06/2020,Maison,5,96 IMP DU DAUPHINE,83130,La Garde,416300,160,25380,1600,14,4,15.54,2293,43.02
2020-288384,02/06/2020,Maison,4,22 RUE ANTOINE WATTEAU,83130,La Garde,382000,86,25380,1600,14,4,15.54,2293,43.02
2020-288381,02/06/2020,Maison,5,304 RUE NADINE BERNOT,83130,La Garde,756710,147,25380,1600,14,4,15.54,2293,43.02
